#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
001558	0.38925	0.024090	0.40272	0.022815	867	897	1446	39031
001843	0.21505	0.013469	0.32909	0.017502	479	733	1022	26445
003550	0.19530	0.012302	0.34256	0.018626	435	763	513	14277
004091	0.18452	0.014170	0.05747	0.004107	411	128	537	18236
005308	0.14546	0.009256	0.31652	0.017225	324	705	692	18300
003332	0.08440	0.005776	0.04310	0.002716	188	96	232	7047
001255	0.07587	0.005351	0.39688	0.021712	169	884	654	17247
004963	0.06959	0.005437	0.26489	0.015138	155	590	232	7460
006295	0.05881	0.004722	0.08081	0.005601	131	180	139	4990
005335	0.04804	0.004297	0.07408	0.004222	107	165	152	5442
002222	0.04759	0.003851	0.08800	0.005089	106	196	216	6741
006444	0.04624	0.003968	0.18273	0.011161	103	407	198	6630
006816	0.04579	0.004904	0.10820	0.006771	102	241	320	11025
001752	0.04355	0.003711	0.27791	0.016363	97	619	261	8103
002113	0.03861	0.002059	0.26758	0.011997	86	596	532	10863
005099	0.03861	0.003952	0.10146	0.006037	86	226	96	4218
006689	0.03816	0.004140	0.04445	0.002584	85	99	108	4899
006986	0.03681	0.006551	0.00314	0.000263	82	7	86	6692
002774	0.03502	0.003378	0.18048	0.010012	78	402	147	5160
002522	0.03457	0.006372	0.00224	0.000173	77	5	78	6402
001536	0.03188	0.005579	0.00763	0.000334	71	17	75	5710
001374	0.03143	0.006017	0.00494	0.000354	70	11	73	6129
002308	0.03098	0.001849	0.08351	0.004467	69	186	81	2136
001196	0.03053	0.005288	0.01931	0.001119	68	43	71	5377
000455	0.02918	0.002059	0.11314	0.005824	65	252	87	2637
002952	0.02918	0.002642	0.08620	0.004860	65	192	256	7478
003780	0.02873	0.003509	0.04714	0.003557	64	105	75	3895
005210	0.02873	0.005302	0.00584	0.000330	64	13	66	5385
005860	0.02828	0.004358	0.03098	0.001626	63	69	67	4475
004021	0.02784	0.002466	0.34660	0.020251	62	772	82	3018
002444	0.02784	0.002906	0.11853	0.006763	62	264	146	5069
003744	0.02784	0.003231	0.05702	0.003133	62	127	171	5925
005141	0.02694	0.003990	0.01751	0.001275	60	39	74	4440
004832	0.02649	0.003577	0.01931	0.001289	59	43	69	3876
003994	0.02649	0.004474	0.00359	0.000244	59	8	62	4567
003435	0.02604	0.002122	0.18811	0.009997	58	419	181	5215
004723	0.02514	0.004478	0.00853	0.000535	56	19	74	4996
005585	0.02514	0.004777	0.00718	0.000471	56	16	58	4809
007117	0.02469	0.004707	0.00090	0.000063	55	2	57	4770
005566	0.02424	0.004168	0.03053	0.001513	54	68	61	4402
005157	0.02379	0.004432	0.00404	0.000267	53	9	53	4432
000877	0.02379	0.004446	0.00404	0.000361	53	9	53	4446
005400	0.02379	0.004350	0.00180	0.000116	53	4	56	4451
000909	0.02335	0.004511	0.04849	0.002465	52	108	156	6901
005597	0.02335	0.004156	0.01122	0.000788	52	25	54	4217
001858	0.02335	0.004270	0.00988	0.000539	52	22	52	4270
005368	0.02335	0.004493	0.00314	0.000232	52	7	56	4638
000203	0.02290	0.001873	0.49700	0.020600	51	1107	366	8065
006800	0.02290	0.002169	0.08755	0.005178	51	195	166	5327
000552	0.02290	0.003338	0.06600	0.004799	51	147	180	7560
004532	0.02290	0.004204	0.02649	0.001673	51	59	63	4564
001470	0.02290	0.004024	0.01751	0.001133	51	39	57	4239
001498	0.02290	0.004128	0.00314	0.000232	51	7	57	4343
000532	0.02245	0.002124	0.07812	0.004412	50	174	72	2691
000094	0.02245	0.004191	0.06779	0.004722	50	151	51	4225
004478	0.02245	0.002803	0.03547	0.002003	50	79	88	3767
002206	0.02245	0.003551	0.02469	0.001544	50	55	85	4529
006274	0.02245	0.003989	0.01347	0.000743	50	30	50	3989
005009	0.02245	0.004078	0.00673	0.000413	50	15	60	4324
004831	0.02245	0.004100	0.00359	0.000239	50	8	52	4165
004264	0.02245	0.003761	0.00359	0.000233	50	8	50	3761
006677	0.02245	0.004227	0.00269	0.000217	50	6	51	4264
005430	0.02245	0.004494	0.00224	0.000191	50	5	52	4579
004083	0.02200	0.003234	0.02873	0.001564	49	64	83	4110
004004	0.02200	0.002508	0.01571	0.000712	49	35	79	3097
002030	0.02200	0.004093	0.00359	0.000311	49	8	50	4128
001641	0.02155	0.003054	0.02245	0.001215	48	50	67	3574
000536	0.02155	0.003942	0.00584	0.000391	48	13	50	4023
007008	0.02155	0.003794	0.00314	0.000193	48	7	50	3872
005609	0.02155	0.004079	0.00269	0.000125	48	6	48	4079
002806	0.02155	0.004033	0.00269	0.000221	48	6	49	4086
005034	0.02155	0.003678	0.00090	0.000041	48	2	48	3678
001262	0.02110	0.003648	0.07498	0.003531	47	167	96	4641
007031	0.02110	0.003929	0.00584	0.000329	47	13	59	4235
004982	0.02110	0.003742	0.00494	0.000380	47	11	47	3742
005637	0.02110	0.003869	0.00180	0.000163	47	4	51	4032
005806	0.02110	0.003782	0.00000	0.000000	47	0	47	3782
000126	0.02065	0.004084	0.02649	0.001974	46	59	56	4433
000810	0.02065	0.003609	0.00808	0.000477	46	18	51	3744
004505	0.02065	0.003594	0.00494	0.000315	46	11	51	3741
001480	0.02065	0.003560	0.00494	0.000432	46	11	47	3598
006745	0.02065	0.003791	0.00314	0.000185	46	7	49	3905
006485	0.02065	0.003640	0.00314	0.000243	46	7	48	3720
007204	0.02065	0.003614	0.00224	0.000182	46	5	46	3614
006953	0.02065	0.003670	0.00224	0.000180	46	5	48	3751
005985	0.02065	0.003442	0.00045	0.000020	46	1	46	3442
004947	0.02020	0.002151	0.04041	0.002201	45	90	51	2289
003194	0.02020	0.001921	0.02784	0.001532	45	62	46	1946
001299	0.02020	0.003352	0.01033	0.000479	45	23	52	3492
003005	0.02020	0.003706	0.00763	0.000451	45	17	50	3842
003805	0.02020	0.003526	0.00404	0.000322	45	9	47	3592
003186	0.02020	0.003790	0.00269	0.000202	45	6	47	3858
001450	0.01975	0.002134	0.46737	0.018833	44	1041	57	2420
006943	0.01975	0.001816	0.22897	0.011459	44	510	372	9533
002542	0.01975	0.002275	0.02828	0.001434	44	63	59	2625
007321	0.01975	0.003632	0.00539	0.000395	44	12	44	3632
002270	0.01975	0.003681	0.00449	0.000321	44	10	44	3681
006950	0.01975	0.003368	0.00314	0.000203	44	7	45	3405
005904	0.01975	0.003355	0.00224	0.000126	44	5	44	3355
005828	0.01975	0.003181	0.00135	0.000130	44	3	46	3265
001586	0.01975	0.003374	0.00135	0.000116	44	3	47	3490
006142	0.01975	0.003128	0.00090	0.000057	44	2	44	3128
001816	0.01931	0.003493	0.05073	0.002870	43	113	56	3878
006348	0.01931	0.002605	0.04175	0.003194	43	93	89	4205
005421	0.01931	0.003473	0.02379	0.001138	43	53	44	3529
001190	0.01931	0.003798	0.01033	0.000678	43	23	43	3798
001177	0.01931	0.003511	0.00763	0.000524	43	17	53	3853
001773	0.01931	0.003548	0.00673	0.000467	43	15	48	3742
002829	0.01931	0.003465	0.00449	0.000262	43	10	45	3540
006134	0.01931	0.003572	0.00359	0.000271	43	8	45	3668
004594	0.01931	0.003560	0.00314	0.000247	43	7	43	3560
001390	0.01931	0.003225	0.00314	0.000192	43	7	43	3225
001910	0.01931	0.003697	0.00269	0.000140	43	6	45	3727
005178	0.01931	0.003523	0.00224	0.000205	43	5	45	3600
004954	0.01931	0.003605	0.00224	0.000127	43	5	47	3708
002421	0.01931	0.003529	0.00180	0.000108	43	4	47	3637
007158	0.01931	0.003451	0.00135	0.000093	43	3	44	3494
007025	0.01931	0.003633	0.00090	0.000084	43	2	44	3681
000054	0.01886	0.003296	0.04624	0.003192	42	103	43	3328
001432	0.01886	0.002936	0.00673	0.000435	42	15	45	3027
007226	0.01886	0.003615	0.00449	0.000329	42	10	46	3789
006016	0.01886	0.003399	0.00404	0.000249	42	9	42	3399
002794	0.01886	0.003708	0.00314	0.000173	42	7	43	3750
003668	0.01886	0.003396	0.00269	0.000236	42	6	45	3517
006078	0.01886	0.003203	0.00224	0.000213	42	5	43	3282
