#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
001558	0.13329	0.012811	0.13579	0.009841	373	380	613	19156
005308	0.08433	0.007630	0.12471	0.008976	236	349	436	12727
004091	0.08254	0.010117	0.02287	0.002111	231	64	292	12118
001843	0.06861	0.007969	0.08326	0.005823	192	233	370	12396
001255	0.05896	0.006264	0.16652	0.012372	165	466	429	13319
003550	0.05825	0.006145	0.11721	0.008192	163	328	208	7352
002522	0.04359	0.012560	0.00107	0.000128	122	3	124	12664
005585	0.03645	0.010479	0.00607	0.000607	102	17	108	10739
001752	0.03609	0.006855	0.10255	0.007846	101	287	191	9322
006816	0.03609	0.005668	0.06003	0.004863	101	168	251	9998
005210	0.03323	0.008638	0.00393	0.000536	93	11	97	8813
005637	0.03323	0.009078	0.00143	0.000129	93	4	97	9207
005566	0.03287	0.009242	0.01679	0.001204	92	47	98	9479
004264	0.03287	0.008759	0.00393	0.000540	92	11	95	8987
000810	0.03216	0.008812	0.00536	0.000517	90	15	96	8987
006986	0.03216	0.008498	0.00250	0.000228	90	7	95	8684
004832	0.03180	0.008030	0.00750	0.000706	89	21	99	8366
005099	0.03145	0.004529	0.07075	0.005351	88	198	98	4809
004963	0.03145	0.006434	0.06897	0.005048	88	193	111	7077
001470	0.03073	0.008110	0.00822	0.000655	86	23	89	8213
002430	0.03037	0.008624	0.00679	0.000840	85	19	89	8805
005597	0.03037	0.008134	0.00357	0.000388	85	10	86	8174
002774	0.03002	0.004711	0.09041	0.006591	84	253	148	6548
000877	0.02966	0.008180	0.00143	0.000197	83	4	84	8211
006444	0.02930	0.004843	0.07147	0.005698	82	200	129	6247
006913	0.02930	0.007831	0.00179	0.000212	82	5	84	7933
001582	0.02859	0.007889	0.00322	0.000297	80	9	80	7889
006451	0.02823	0.007229	0.00393	0.000290	79	11	80	7268
001498	0.02823	0.007990	0.00286	0.000302	79	8	80	8035
005368	0.02787	0.008237	0.00429	0.000405	78	12	81	8367
004970	0.02787	0.007492	0.00393	0.000499	78	11	82	7683
004200	0.02751	0.007987	0.00465	0.000450	77	13	78	8026
001272	0.02751	0.007103	0.00071	0.000091	77	2	78	7137
002222	0.02716	0.003688	0.04538	0.003477	76	127	154	5845
003332	0.02716	0.003875	0.01072	0.000974	76	30	88	4283
001229	0.02716	0.007177	0.00643	0.000693	76	18	78	7302
006134	0.02716	0.007120	0.00179	0.000199	76	5	77	7175
000909	0.02680	0.007291	0.00822	0.000821	75	23	94	8013
002030	0.02680	0.006901	0.00500	0.000590	75	14	75	6901
001374	0.02680	0.007326	0.00500	0.000600	75	14	77	7476
001654	0.02680	0.007222	0.00429	0.000527	75	12	87	7749
004532	0.02644	0.006709	0.01751	0.001471	74	49	91	7225
