#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004091	0.07697	0.009326	0.01564	0.001306	192	39	230	10601
001558	0.07056	0.007708	0.05412	0.003457	176	135	256	9790
002522	0.05092	0.016817	0.00000	0.000000	127	0	127	16817
001470	0.04410	0.014423	0.00200	0.000108	110	5	110	14423
005585	0.04290	0.014184	0.00200	0.000112	107	5	108	14216
006986	0.04210	0.013691	0.00000	0.000000	105	0	105	13691
001654	0.04169	0.013848	0.00080	0.000041	104	2	106	13889
006451	0.04089	0.013639	0.00040	0.000038	102	1	102	13639
001272	0.04089	0.013340	0.00040	0.000038	102	1	102	13340
007321	0.03969	0.013293	0.00120	0.000087	99	3	99	13293
002806	0.03929	0.013333	0.00040	0.000042	98	1	98	13333
001374	0.03849	0.012602	0.00160	0.000137	96	4	97	12667
005210	0.03849	0.012397	0.00080	0.000069	96	2	97	12433
005965	0.03809	0.012037	0.00040	0.000037	95	1	96	12074
005806	0.03769	0.012549	0.00000	0.000000	94	0	94	12549
005566	0.03728	0.012883	0.00321	0.000196	93	8	94	12925
001843	0.03648	0.006463	0.04370	0.002559	91	109	164	8161
004264	0.03608	0.011947	0.00080	0.000111	90	2	90	11947
001586	0.03608	0.011994	0.00080	0.000082	90	2	90	11994
001498	0.03608	0.011672	0.00040	0.000060	90	1	90	11672
001229	0.03608	0.011688	0.00040	0.000030	90	1	90	11688
001086	0.03608	0.011796	0.00040	0.000025	90	1	90	11796
001582	0.03608	0.011870	0.00000	0.000000	90	0	90	11870
002030	0.03568	0.011584	0.00120	0.000108	89	3	89	11584
001656	0.03568	0.011788	0.00080	0.000072	89	2	90	11829
000877	0.03568	0.012144	0.00040	0.000041	89	1	89	12144
006142	0.03528	0.011765	0.00040	0.000026	88	1	88	11765
003837	0.03528	0.011856	0.00040	0.000033	88	1	88	11856
005637	0.03528	0.011654	0.00000	0.000000	88	0	88	11654
