#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
037273	0.26954	0.780755	0.58020	1.644065	26796	57679	49260	1443628
017639	0.09520	0.258429	0.65967	1.695103	9464	65580	59789	1564764
004217	0.03356	0.079829	0.11529	0.273644	3336	11461	10262	240777
042785	0.01578	0.042825	0.23461	0.619633	1569	23323	7418	203443
004447	0.01216	0.038438	0.21296	0.538859	1209	21171	6398	181435
040087	0.01212	0.033343	0.17709	0.407147	1205	17605	6494	181143
002360	0.01177	0.037741	0.10776	0.305361	1170	10713	1473	47195
033214	0.01069	0.029143	0.03500	0.091668	1063	3479	1547	44289
012245	0.01054	0.034938	0.03762	0.118295	1048	3740	4593	147233
030801	0.00828	0.021804	0.04205	0.102398	823	4180	4824	120328
024163	0.00812	0.020353	0.29635	0.700217	807	29461	1883	48863
018282	0.00741	0.023830	0.04090	0.124664	737	4066	4494	139092
010332	0.00663	0.010092	0.02797	0.044130	659	2781	3146	47142
043632	0.00576	0.022166	0.09413	0.235984	573	9358	1233	42994
042787	0.00532	0.015653	0.05875	0.171358	529	5841	3905	116565
038976	0.00525	0.021661	0.06827	0.175218	522	6787	2186	70890
041812	0.00486	0.018842	0.09420	0.240594	483	9365	9689	255018
015161	0.00455	0.013771	0.03312	0.094753	452	3293	1102	33337
021951	0.00437	0.016873	0.01486	0.043317	434	1477	1044	35969
005675	0.00417	0.011830	0.05094	0.133215	415	5064	1883	51078
021583	0.00384	0.011979	0.03424	0.105869	382	3404	3296	103033
001773	0.00381	0.014469	0.01178	0.035977	379	1171	837	29212
001407	0.00378	0.013247	0.01302	0.033015	376	1294	460	15763
027605	0.00376	0.012148	0.02632	0.080770	374	2617	1762	55210
003599	0.00363	0.010486	0.06482	0.178384	361	6444	1493	42550
028860	0.00362	0.008689	0.00451	0.012404	360	448	402	9919
002373	0.00349	0.011085	0.02251	0.063779	347	2238	963	29314
000694	0.00349	0.010955	0.00997	0.029053	347	991	1029	31128
015055	0.00338	0.014256	0.00892	0.027909	336	887	432	17666
028661	0.00332	0.012036	0.01389	0.037542	330	1381	859	28367
001378	0.00322	0.013127	0.01184	0.036019	320	1177	847	30207
012637	0.00313	0.012495	0.00835	0.025081	311	830	505	18727
002719	0.00308	0.013437	0.00588	0.018130	306	585	504	20188
000591	0.00306	0.009899	0.02062	0.059182	304	2050	531	17251
006835	0.00306	0.010683	0.01329	0.040759	304	1321	1294	41658
015191	0.00302	0.009817	0.08839	0.261317	300	8787	5779	173419
016146	0.00300	0.012152	0.01062	0.032086	298	1056	596	22011
043577	0.00295	0.008971	0.02427	0.070345	293	2413	863	26209
017365	0.00295	0.011831	0.01051	0.032232	293	1045	640	23163
047101	0.00294	0.012088	0.01027	0.027421	292	1021	1242	37791
033816	0.00293	0.007627	0.02588	0.059960	291	2573	2177	51782
032855	0.00290	0.011826	0.01150	0.034153	288	1143	728	26001
003081	0.00289	0.010594	0.01172	0.033377	287	1165	1114	34651
008374	0.00286	0.008596	0.01634	0.048251	284	1624	346	10692
006562	0.00286	0.010765	0.01059	0.030552	284	1053	384	13956
010166	0.00284	0.011465	0.01291	0.039308	282	1283	1104	37590
026709	0.00279	0.011220	0.01006	0.030223	277	1000	388	15105
005467	0.00274	0.009163	0.01058	0.031923	272	1052	764	24469
021074	0.00274	0.010490	0.00992	0.028489	272	986	395	14631
008689	0.00274	0.011421	0.00823	0.024993	272	818	558	20826
044546	0.00272	0.004230	0.00369	0.006390	270	367	289	4795
012661	0.00270	0.010037	0.00833	0.022441	268	828	881	26865
012971	0.00260	0.007730	0.06571	0.176145	258	6532	6597	178936
005800	0.00259	0.009335	0.01256	0.039136	257	1249	700	23767
031111	0.00258	0.006093	0.01288	0.029293	256	1280	492	11705
006366	0.00255	0.008412	0.01468	0.040112	254	1459	626	20124
030422	0.00255	0.008252	0.01464	0.042376	254	1455	664	20853
030295	0.00252	0.007358	0.04003	0.113673	251	3980	721	21302
020797	0.00252	0.009373	0.03338	0.086022	251	3318	1043	31226
014837	0.00251	0.008259	0.01479	0.044931	250	1470	620	19741
041830	0.00251	0.010277	0.00889	0.026149	250	884	786	26850
