#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
ref_722910	0.11794	0.027193	0.18173	0.040501	917	1413	2294	70190
ref_224396	0.08347	0.018576	0.12321	0.027210	649	958	951	28436
ref_715738	0.08154	0.021022	0.29748	0.057091	634	2313	1136	39856
ref_707015	0.04283	0.011033	0.24964	0.051642	333	1941	1208	34513
ref_236384	0.03035	0.007862	0.15935	0.031814	236	1239	1506	41223
ref_361229	0.02161	0.005347	0.07665	0.016362	168	596	663	19574
ref_585412	0.02084	0.002721	0.05929	0.010396	162	461	378	8512
ref_551622	0.01711	0.004637	0.05054	0.009821	133	393	167	5862
ref_111952	0.01582	0.007698	0.00051	0.000134	123	4	127	7832
ref_10714	0.01492	0.003534	0.06212	0.012973	116	483	195	6166
ref_289984	0.01453	0.007588	0.00051	0.000200	113	4	118	7852
ref_906880	0.01338	0.004253	0.02084	0.005691	104	162	281	10617
ref_767173	0.01325	0.003777	0.06135	0.011953	103	477	361	10361
ref_141014	0.01299	0.003366	0.02547	0.005595	101	198	166	5465
ref_625425	0.01235	0.003520	0.04630	0.012169	96	360	474	16596
ref_132743	0.01235	0.003437	0.02006	0.003861	96	156	130	4304
ref_751274	0.01183	0.003368	0.02328	0.006171	92	181	353	12327
ref_192163	0.01170	0.006034	0.00026	0.000046	91	2	92	6102
ref_83314	0.01106	0.005620	0.00026	0.000048	86	2	88	5748
ref_231632	0.01093	0.003147	0.03640	0.007438	85	283	200	6519
ref_681227	0.01067	0.003034	0.04411	0.011677	83	343	244	8486
ref_831290	0.01055	0.005376	0.00026	0.000088	82	2	82	5376
ref_263409	0.01029	0.005115	0.00103	0.000276	80	8	86	5485
ref_649144	0.01003	0.002951	0.03537	0.007737	78	275	147	5086
ref_859902	0.01003	0.005196	0.00000	0.000000	78	0	82	5621
ref_941735	0.00990	0.004743	0.00013	0.000056	77	1	79	4850
ref_761489	0.00977	0.002943	0.07717	0.014480	76	600	241	7228
ref_847949	0.00977	0.004868	0.00051	0.000129	76	4	76	4868
ref_337203	0.00939	0.004398	0.01119	0.002181	73	87	146	6444
ref_398251	0.00939	0.004610	0.00026	0.000056	73	2	73	4610
ref_432268	0.00926	0.004712	0.00039	0.000104	72	3	74	4762
ref_466901	0.00913	0.004439	0.00064	0.000132	71	5	74	4762
ref_511630	0.00913	0.004529	0.00051	0.000202	71	4	71	4529
ref_182457	0.00913	0.004481	0.00026	0.000082	71	2	72	4631
ref_123828	0.00913	0.004367	0.00000	0.000000	71	0	72	4404
ref_214037	0.00900	0.004106	0.00193	0.000356	70	15	79	4363
ref_100346	0.00900	0.004536	0.00077	0.000159	70	6	73	4661
ref_596527	0.00900	0.004543	0.00051	0.000124	70	4	71	4589
ref_444288	0.00900	0.004252	0.00039	0.000116	70	3	75	4538
ref_296465	0.00900	0.004386	0.00026	0.000065	70	2	73	4554
ref_775268	0.00887	0.004422	0.00000	0.000000	69	0	71	4546
ref_646673	0.00887	0.004273	0.00000	0.000000	69	0	69	4273
ref_25592	0.00875	0.004136	0.00064	0.000136	68	5	71	4348
ref_482562	0.00875	0.004382	0.00026	0.000076	68	2	74	4779
ref_672203	0.00875	0.004383	0.00000	0.000000	68	0	70	4510
ref_636214	0.00875	0.004254	0.00000	0.000000	68	0	70	4348
ref_808133	0.00862	0.004195	0.00000	0.000000	67	0	68	4268
ref_305483	0.00862	0.004581	0.00000	0.000000	67	0	70	4859
ref_182563	0.00849	0.003984	0.00103	0.000207	66	8	69	4072
ref_738201	0.00849	0.004196	0.00000	0.000000	66	0	66	4196
ref_141452	0.00836	0.003719	0.00579	0.001436	65	45	102	5126
ref_493495	0.00836	0.004193	0.00064	0.000108	65	5	65	4193
ref_597938	0.00823	0.004159	0.00090	0.000210	64	7	66	4296
ref_158039	0.00823	0.003848	0.00026	0.000070	64	2	68	4026
ref_583632	0.00823	0.004100	0.00000	0.000000	64	0	66	4305
ref_611412	0.00810	0.003924	0.00141	0.000237	63	11	77	4307
ref_835365	0.00810	0.003897	0.00013	0.000020	63	1	66	4158
ref_451623	0.00810	0.003815	0.00000	0.000000	63	0	64	3880
ref_468946	0.00797	0.003886	0.00154	0.000444	62	12	66	4030
ref_406225	0.00797	0.003859	0.00103	0.000218	62	8	67	4001
ref_853925	0.00797	0.003902	0.00051	0.000168	62	4	64	4036
ref_692503	0.00797	0.004010	0.00026	0.000072	62	2	62	4010
