#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
ref_722910	0.12372	0.026687	0.17957	0.037256	895	1299	2228	67999
ref_715738	0.08488	0.020053	0.30440	0.055053	614	2202	1115	40410
ref_224396	0.08225	0.017278	0.10990	0.022357	595	795	841	25280
ref_707015	0.04078	0.009599	0.24647	0.047363	295	1783	1121	31380
ref_236384	0.02502	0.006321	0.15676	0.029936	181	1134	1344	38125
ref_361229	0.02032	0.004712	0.07534	0.015416	147	545	597	18032
ref_585412	0.01756	0.002408	0.05253	0.008577	127	380	313	7448
ref_906880	0.01424	0.004279	0.02322	0.005659	103	168	274	10168
ref_10714	0.01382	0.003251	0.05059	0.009825	100	366	165	5368
ref_551622	0.01286	0.003361	0.04327	0.007456	93	313	114	4151
ref_767173	0.01258	0.003364	0.05751	0.010766	91	416	334	9755
ref_751274	0.01230	0.003215	0.02101	0.005226	89	152	320	11190
ref_231632	0.01147	0.002944	0.04216	0.008171	83	305	223	7529
ref_141014	0.01092	0.002647	0.03069	0.006220	79	222	129	4345
ref_649144	0.00954	0.002369	0.04133	0.008317	69	299	149	5033
ref_625425	0.00954	0.002621	0.04023	0.009920	69	291	379	13281
ref_690997	0.00912	0.002598	0.03318	0.006179	66	240	107	3964
ref_21719	0.00912	0.002596	0.02087	0.005229	66	151	168	6155
ref_761489	0.00885	0.002362	0.08004	0.014365	64	579	221	6466
ref_681227	0.00885	0.002257	0.04341	0.010422	64	314	205	6951
ref_129002	0.00885	0.003843	0.00055	0.000150	64	4	69	4055
ref_898240	0.00843	0.002175	0.01092	0.002360	61	79	81	2810
ref_831290	0.00788	0.003585	0.00028	0.000096	57	2	57	3585
ref_636214	0.00774	0.003478	0.00028	0.000100	56	2	56	3478
ref_132743	0.00719	0.001575	0.01825	0.003328	52	132	73	2233
ref_777829	0.00719	0.003153	0.00028	0.000100	52	2	55	3315
ref_2518	0.00705	0.003221	0.00028	0.000038	51	2	54	3414
ref_900828	0.00691	0.002107	0.00470	0.001023	50	34	79	3207
ref_672161	0.00691	0.003144	0.00028	0.000092	50	2	50	3144
ref_870133	0.00677	0.003075	0.00097	0.000264	49	7	53	3237
ref_930502	0.00677	0.003072	0.00041	0.000058	49	3	50	3110
ref_348498	0.00677	0.003053	0.00041	0.000110	49	3	51	3156
ref_662687	0.00677	0.002969	0.00028	0.000078	49	2	50	3038
ref_110765	0.00677	0.002805	0.00028	0.000074	49	2	52	2932
ref_777606	0.00677	0.003104	0.00000	0.000000	49	0	49	3104
ref_756216	0.00664	0.002912	0.00083	0.000146	48	6	54	3058
ref_863399	0.00664	0.002990	0.00000	0.000000	48	0	48	2990
ref_198975	0.00650	0.002818	0.00055	0.000054	47	4	48	2833
ref_799800	0.00650	0.002806	0.00028	0.000052	47	2	48	2862
ref_317048	0.00622	0.001494	0.02806	0.002977	45	203	108	2429
ref_717487	0.00622	0.001776	0.01963	0.004609	45	142	209	7051
ref_801522	0.00622	0.001992	0.01410	0.002796	45	102	67	2850
ref_304424	0.00622	0.002612	0.00055	0.000102	45	4	46	2670
ref_781725	0.00622	0.002740	0.00028	0.000080	45	2	46	2804
ref_587956	0.00622	0.002596	0.00000	0.000000	45	0	46	2674
ref_220580	0.00622	0.002820	0.00000	0.000000	45	0	46	2886
ref_889401	0.00608	0.001325	0.03511	0.006561	44	254	196	5318
ref_703694	0.00608	0.001766	0.01576	0.003885	44	114	165	5925
ref_480921	0.00608	0.002331	0.00332	0.000604	44	24	46	2390
ref_200883	0.00608	0.002586	0.00083	0.000248	44	6	50	2834
ref_253852	0.00608	0.002771	0.00069	0.000156	44	5	53	3148
ref_872428	0.00608	0.002602	0.00055	0.000145	44	4	45	2641
ref_742999	0.00608	0.002550	0.00055	0.000142	44	4	44	2550
ref_33382	0.00594	0.001537	0.02032	0.004071	43	147	56	1973
ref_667548	0.00594	0.002510	0.00055	0.000134	43	4	43	2510
ref_504938	0.00594	0.002367	0.00041	0.000155	43	3	44	2418
ref_821595	0.00594	0.002545	0.00028	0.000074	43	2	44	2570
ref_17424	0.00594	0.002736	0.00028	0.000094	43	2	46	2886
ref_664167	0.00581	0.001618	0.00899	0.001792	42	65	63	2391
ref_35595	0.00581	0.002598	0.00124	0.000277	42	9	43	2658
ref_659810	0.00581	0.002646	0.00097	0.000203	42	7	42	2646
ref_229718	0.00581	0.002624	0.00083	0.000132	42	6	46	2726
ref_54308	0.00581	0.002544	0.00069	0.000155	42	5	43	2644
ref_689318	0.00581	0.002415	0.00055	0.000168	42	4	43	2485
ref_307680	0.00581	0.002481	0.00055	0.000102	42	4	46	2583
ref_175402	0.00581	0.002564	0.00055	0.000144	42	4	42	2564
ref_539836	0.00581	0.002588	0.00041	0.000084	42	3	44	2661
ref_344135	0.00581	0.002452	0.00041	0.000139	42	3	45	2591
ref_754720	0.00581	0.002557	0.00028	0.000060	42	2	44	2650
ref_889874	0.00581	0.002550	0.00014	0.000036	42	1	42	2550
ref_795896	0.00567	0.001838	0.01534	0.003670	41	111	75	3049
ref_935368	0.00567	0.002424	0.00207	0.000296	41	15	56	2769
ref_371327	0.00567	0.002567	0.00069	0.000106	41	5	44	2712
ref_84698	0.00567	0.002421	0.00055	0.000126	41	4	41	2421
ref_288571	0.00567	0.002641	0.00041	0.000107	41	3	42	2716
ref_777665	0.00567	0.002434	0.00028	0.000058	41	2	42	2486
ref_591375	0.00567	0.002376	0.00028	0.000080	41	2	44	2494
ref_284547	0.00567	0.002506	0.00028	0.000084	41	2	42	2536
ref_902451	0.00553	0.002479	0.00207	0.000432	40	15	43	2582
ref_357362	0.00553	0.002144	0.00166	0.000351	40	12	50	2504
ref_937557	0.00553	0.002099	0.00138	0.000264	40	10	40	2099
ref_710650	0.00553	0.002475	0.00138	0.000237	40	10	42	2540
ref_589281	0.00553	0.002330	0.00138	0.000237	40	10	42	2400
ref_598025	0.00553	0.002406	0.00097	0.000240	40	7	49	2782
ref_765276	0.00553	0.002489	0.00083	0.000169	40	6	41	2569
ref_54444	0.00553	0.002388	0.00083	0.000284	40	6	46	2672
ref_542297	0.00553	0.002456	0.00069	0.000301	40	5	42	2554
ref_446850	0.00553	0.002336	0.00055	0.000140	40	4	42	2406
ref_236208	0.00553	0.002602	0.00055	0.000134	40	4	40	2602
ref_157117	0.00553	0.002337	0.00055	0.000192	40	4	44	2494
ref_808133	0.00553	0.002367	0.00041	0.000061	40	3	43	2450
ref_551441	0.00553	0.002152	0.00041	0.000125	40	3	43	2277
ref_503169	0.00553	0.002354	0.00041	0.000124	40	3	44	2513
ref_244476	0.00553	0.002562	0.00041	0.000101	40	3	40	2562
ref_775268	0.00553	0.002244	0.00028	0.000104	40	2	42	2348
ref_597938	0.00553	0.002358	0.00028	0.000054	40	2	40	2358
ref_554452	0.00553	0.002478	0.00028	0.000104	40	2	42	2582
ref_363061	0.00553	0.002283	0.00028	0.000033	40	2	44	2407
ref_199817	0.00553	0.002407	0.00028	0.000032	40	2	41	2471
ref_584740	0.00553	0.002324	0.00000	0.000000	40	0	40	2324
ref_23501	0.00539	0.001418	0.01880	0.004142	39	136	92	3094
ref_852887	0.00539	0.002075	0.00456	0.000828	39	33	53	2417
ref_463383	0.00539	0.002273	0.00138	0.000357	39	10	47	2574
ref_870946	0.00539	0.002348	0.00124	0.000231	39	9	40	2412
ref_72815	0.00539	0.002289	0.00097	0.000269	39	7	45	2543
ref_677086	0.00539	0.002415	0.00097	0.000108	39	7	41	2495
ref_306563	0.00539	0.002391	0.00083	0.000200	39	6	46	2644
ref_411439	0.00539	0.002268	0.00069	0.000233	39	5	43	2447
ref_33766	0.00539	0.002224	0.00069	0.000188	39	5	41	2344
ref_178240	0.00539	0.002498	0.00069	0.000129	39	5	45	2691
ref_513005	0.00539	0.002489	0.00055	0.000082	39	4	40	2558
ref_423369	0.00539	0.002215	0.00055	0.000110	39	4	39	2215
ref_493495	0.00539	0.002174	0.00041	0.000049	39	3	41	2275
ref_869572	0.00539	0.002139	0.00000	0.000000	39	0	40	2196
ref_716772	0.00539	0.002283	0.00000	0.000000	39	0	40	2344
ref_608826	0.00539	0.002304	0.00000	0.000000	39	0	39	2304
ref_553303	0.00539	0.002152	0.00000	0.000000	39	0	41	2371
ref_515005	0.00539	0.002425	0.00000	0.000000	39	0	40	2490
ref_398251	0.00539	0.002433	0.00000	0.000000	39	0	40	2468
ref_382268	0.00539	0.002375	0.00000	0.000000	39	0	39	2375
ref_360088	0.00539	0.002336	0.00000	0.000000	39	0	39	2336
ref_295763	0.00525	0.001448	0.01548	0.003263	38	112	93	3372
ref_605235	0.00525	0.001595	0.01106	0.002396	38	80	63	2467
ref_890538	0.00525	0.001845	0.00995	0.002482	38	72	100	3986
ref_100917	0.00525	0.002010	0.00567	0.000989	38	41	43	2193
ref_48422	0.00525	0.001340	0.00442	0.000890	38	32	43	1483
ref_732167	0.00525	0.002262	0.00138	0.000357	38	10	45	2511
ref_165471	0.00525	0.002364	0.00138	0.000315	38	10	44	2557
ref_209221	0.00525	0.002370	0.00111	0.000197	38	8	38	2370
ref_73716	0.00525	0.002400	0.00083	0.000240	38	6	42	2566
ref_496331	0.00525	0.002238	0.00083	0.000132	38	6	38	2238
ref_163702	0.00525	0.002293	0.00069	0.000190	38	5	39	2328
ref_672203	0.00525	0.002228	0.00055	0.000166	38	4	42	2394
ref_132582	0.00525	0.002396	0.00055	0.000071	38	4	41	2445
ref_487204	0.00525	0.002441	0.00041	0.000150	38	3	42	2664
ref_914667	0.00525	0.002286	0.00028	0.000049	38	2	38	2286
ref_80635	0.00525	0.002245	0.00028	0.000072	38	2	42	2428
ref_724567	0.00525	0.002476	0.00028	0.000090	38	2	40	2566
ref_60742	0.00525	0.002134	0.00028	0.000046	38	2	38	2134
ref_451238	0.00525	0.002458	0.00028	0.000070	38	2	38	2458
