#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
ref_722910	0.15188	0.024949	0.23811	0.036938	833	1306	2126	65238
ref_715738	0.10538	0.019132	0.40275	0.052541	578	2209	1049	36681
ref_224396	0.10082	0.016308	0.15716	0.024728	553	862	811	24545
ref_707015	0.05178	0.009085	0.33693	0.047736	284	1848	1171	31101
ref_236384	0.02990	0.005511	0.21934	0.031785	164	1203	1386	38366
ref_361229	0.02644	0.004517	0.09700	0.014657	145	532	577	17078
ref_585412	0.02407	0.002038	0.07001	0.008472	132	384	303	6565
ref_10714	0.01987	0.003354	0.07019	0.010230	109	385	180	5728
ref_767173	0.01750	0.003399	0.06928	0.009204	96	380	338	9710
ref_889067	0.01732	0.005555	0.00055	0.000090	95	3	98	5720
ref_141014	0.01532	0.002634	0.03628	0.005282	84	199	138	4363
ref_906880	0.01440	0.002963	0.03409	0.006362	79	187	265	9466
ref_551622	0.01422	0.002578	0.06090	0.008374	78	334	96	3171
ref_625425	0.01276	0.002438	0.05597	0.010329	70	307	396	13641
ref_649144	0.01240	0.002357	0.05634	0.008905	68	309	135	4799
ref_132743	0.01185	0.001852	0.02498	0.003487	65	137	88	2455
ref_761489	0.01149	0.002239	0.11304	0.015571	63	620	227	6808
ref_690997	0.01094	0.001966	0.03847	0.005469	60	211	96	3021
ref_231632	0.01057	0.001948	0.04321	0.006016	58	237	154	4765
ref_681227	0.01039	0.001980	0.05324	0.009917	57	292	182	6224
ref_751274	0.01021	0.002083	0.02862	0.005462	56	157	255	9014
ref_664167	0.00784	0.001471	0.00966	0.001411	43	53	60	1943
ref_898240	0.00748	0.001227	0.01623	0.002344	41	89	50	1536
ref_495734	0.00748	0.001628	0.01331	0.001956	41	73	123	3909
ref_717487	0.00729	0.001304	0.01914	0.003411	40	105	176	5710
ref_295763	0.00693	0.001457	0.02078	0.003410	38	114	94	3276
ref_703694	0.00693	0.001432	0.01568	0.002920	38	86	133	4679
ref_759652	0.00693	0.001304	0.01386	0.001768	38	76	62	2011
ref_317048	0.00675	0.000837	0.04777	0.004146	37	262	103	1841
ref_23501	0.00675	0.001535	0.02790	0.004438	37	153	91	3212
ref_21719	0.00675	0.001362	0.02115	0.004018	37	116	90	3214
ref_33382	0.00656	0.001176	0.03172	0.004681	36	174	43	1372
ref_336298	0.00656	0.001572	0.01805	0.002591	36	99	61	2655
ref_430003	0.00656	0.002144	0.00036	0.000080	36	2	36	2144
ref_582551	0.00620	0.001435	0.01659	0.002252	34	91	51	2102
ref_942627	0.00602	0.001974	0.00474	0.000667	33	26	38	2102
ref_831290	0.00602	0.002071	0.00036	0.000098	33	2	34	2140
ref_801522	0.00583	0.001158	0.02461	0.003789	32	135	52	1842
ref_605235	0.00583	0.001299	0.02042	0.003302	32	112	61	2200
ref_103334	0.00583	0.001844	0.00073	0.000089	32	4	33	1864
ref_307680	0.00583	0.001884	0.00000	0.000000	32	0	32	1884
ref_889401	0.00565	0.001092	0.05306	0.007354	31	291	195	5299
ref_900828	0.00565	0.001266	0.00748	0.001091	31	41	61	2212
ref_461791	0.00565	0.001310	0.00219	0.000295	31	12	43	2004
ref_802247	0.00565	0.001803	0.00036	0.000028	31	2	33	1831
